contest_type,contest_id,problem_index,,point,url,task_screen_name
AtCoder Beginner Contest,ABC411,A,,100,https://atcoder.jp/contests/abc411/tasks/abc411_a,abc411_a
AtCoder Beginner Contest,ABC410,A,,100,https://atcoder.jp/contests/abc410/tasks/abc410_a,abc410_a
AtCoder Beginner Contest,ABC409,A,,100,https://atcoder.jp/contests/abc409/tasks/abc409_a,abc409_a
AtCoder Beginner Contest,ABC408,A,,100,https://atcoder.jp/contests/abc408/tasks/abc408_a,abc408_a
AtCoder Beginner Contest,ABC407,A,,100,https://atcoder.jp/contests/abc407/tasks/abc407_a,abc407_a
AtCoder Beginner Contest,ABC406,A,,100,https://atcoder.jp/contests/abc406/tasks/abc406_a,abc406_a
AtCoder Beginner Contest,ABC405,A,,100,https://atcoder.jp/contests/abc405/tasks/abc405_a,abc405_a
AtCoder Beginner Contest,ABC404,A,,100,https://atcoder.jp/contests/abc404/tasks/abc404_a,abc404_a
AtCoder Beginner Contest,ABC403,A,,100,https://atcoder.jp/contests/abc403/tasks/abc403_a,abc403_a
AtCoder Beginner Contest,ABC402,A,,100,https://atcoder.jp/contests/abc402/tasks/abc402_a,abc402_a
AtCoder Beginner Contest,ABC401,A,,100,https://atcoder.jp/contests/abc401/tasks/abc401_a,abc401_a
AtCoder Beginner Contest,ABC400,A,,100,https://atcoder.jp/contests/abc400/tasks/abc400_a,abc400_a
AtCoder Beginner Contest,ABC399,A,,100,https://atcoder.jp/contests/abc399/tasks/abc399_a,abc399_a
AtCoder Beginner Contest,ABC398,A,,100,https://atcoder.jp/contests/abc398/tasks/abc398_a,abc398_a
AtCoder Beginner Contest,ABC397,A,,100,https://atcoder.jp/contests/abc397/tasks/abc397_a,abc397_a
AtCoder Beginner Contest,ABC396,A,,100,https://atcoder.jp/contests/abc396/tasks/abc396_a,abc396_a
AtCoder Beginner Contest,ABC395,A,,100,https://atcoder.jp/contests/abc395/tasks/abc395_a,abc395_a
AtCoder Beginner Contest,ABC394,A,,100,https://atcoder.jp/contests/abc394/tasks/abc394_a,abc394_a
AtCoder Beginner Contest,ABC393,A,,100,https://atcoder.jp/contests/abc393/tasks/abc393_a,abc393_a
AtCoder Beginner Contest,ABC392,A,,100,https://atcoder.jp/contests/abc392/tasks/abc392_a,abc392_a
AtCoder Beginner Contest,ABC391,A,,100,https://atcoder.jp/contests/abc391/tasks/abc391_a,abc391_a
AtCoder Beginner Contest,ABC390,A,,100,https://atcoder.jp/contests/abc390/tasks/abc390_a,abc390_a
AtCoder Beginner Contest,ABC389,A,,100,https://atcoder.jp/contests/abc389/tasks/abc389_a,abc389_a
AtCoder Beginner Contest,ABC388,A,,100,https://atcoder.jp/contests/abc388/tasks/abc388_a,abc388_a
AtCoder Beginner Contest,ABC387,A,,100,https://atcoder.jp/contests/abc387/tasks/abc387_a,abc387_a
AtCoder Beginner Contest,ABC386,A,,100,https://atcoder.jp/contests/abc386/tasks/abc386_a,abc386_a
AtCoder Beginner Contest,ABC385,A,,100,https://atcoder.jp/contests/abc385/tasks/abc385_a,abc385_a
AtCoder Beginner Contest,ABC384,A,,100,https://atcoder.jp/contests/abc384/tasks/abc384_a,abc384_a
AtCoder Beginner Contest,ABC383,A,,100,https://atcoder.jp/contests/abc383/tasks/abc383_a,abc383_a
AtCoder Beginner Contest,ABC382,A,,100,https://atcoder.jp/contests/abc382/tasks/abc382_a,abc382_a
AtCoder Beginner Contest,ABC381,A,,100,https://atcoder.jp/contests/abc381/tasks/abc381_a,abc381_a
AtCoder Beginner Contest,ABC380,A,,100,https://atcoder.jp/contests/abc380/tasks/abc380_a,abc380_a
AtCoder Beginner Contest,ABC379,A,,100,https://atcoder.jp/contests/abc379/tasks/abc379_a,abc379_a
AtCoder Beginner Contest,ABC378,A,,100,https://atcoder.jp/contests/abc378/tasks/abc378_a,abc378_a
AtCoder Beginner Contest,ABC377,A,,100,https://atcoder.jp/contests/abc377/tasks/abc377_a,abc377_a
AtCoder Beginner Contest,ABC376,A,,100,https://atcoder.jp/contests/abc376/tasks/abc376_a,abc376_a
AtCoder Beginner Contest,ABC375,A,,100,https://atcoder.jp/contests/abc375/tasks/abc375_a,abc375_a
AtCoder Beginner Contest,ABC374,A,,100,https://atcoder.jp/contests/abc374/tasks/abc374_a,abc374_a
AtCoder Beginner Contest,ABC373,A,,100,https://atcoder.jp/contests/abc373/tasks/abc373_a,abc373_a
AtCoder Beginner Contest,ABC372,A,,100,https://atcoder.jp/contests/abc372/tasks/abc372_a,abc372_a
AtCoder Beginner Contest,ABC371,A,,100,https://atcoder.jp/contests/abc371/tasks/abc371_a,abc371_a
